Minimum level: 55
-267	287	-817	-283
0;252.382046622
1;270.862861947
2;273.558471764
3;278.270017668
4;280.999234743
5;284.728752464
6;286.918775851
7;290.846811933
8;294.48990135
9;298.359436691
10;300.815801771
11;304.572384923
12;307.67011351
13;310.97311886
14;313.946887368
15;316.092149874
16;321.274007177
17;324.965321927
18;326.901635855
19;330.634131006
20;333.786640266
21;338.639363898
22;342.944222507
23;345.191489442
24;348.717052654
25;355.154482081
26;357.911179035
27;1.39835026738
28;8.2315755154
29;12.3691053309
30;16.0363930919
31;22.1342683152
32;26.217096542
33;29.4663604515
34;32.633138762
35;40.4567371899
36;43.8936309273
37;47.8550943165
38;51.5164177159
39;56.3134948025
40;60.3888445252
41;64.1687725178
42;69.4737472415
43;74.5134287844
44;80.0596150457
45;82.2507976803
46;85.6080376158
47;90.2124118723
48;94.306507773
49;98.3861316104
50;102.620259808
51;107.338049587
52;112.035842249
53;115.543110433
54;120.806455278
55;126.343018118
56;128.745569353
57;134.101234012
58;137.373311257
59;141.683868425
60;147.063968152
61;151.364224277
62;155.036898286
63;157.698723822
64;160.503415686
65;162.858561802
66;164.865624958
67;170.638056239
68;172.556904033
69;178.393888689
70;181.581696267
71;185.243614549
72;190.284740546
73;194.163085306
74;201.311586717
75;204.63697784
76;209.325754924
77;215.729961134
78;218.384295771
79;225.89622854
80;228.634962215
81;232.572928574
82;236.156630324
83;241.265240558
84;246.809731313
85;248.957564949
86;252.472283286
87;256.827961688
88;261.717718606
89;263.129700637
90;267.141992622
91;271.96383952
92;275.971944169
93;278.653698324
94;282.019340833
95;285.187803068
96;287.674181653
97;292.334925301
98;297.683922562
99;300.891327265
